gene_id,n_celltypes_trending,dominant_direction,n_consistent,mean_slope,mean_abs_spearman
ENSG00000092820,19,decreasing,18,-0.011587125450847474,0.9528886684995449
ENSG00000124151,19,decreasing,14,-0.00519603514171699,0.9528886684995449
ENSG00000143702,19,decreasing,17,-0.018144064347549792,0.9485382530118567
ENSG00000152484,19,decreasing,17,-0.007254893937710911,0.9387860794242225
ENSG00000136448,18,decreasing,14,-0.042623851833471525,0.9605653333142443
ENSG00000068305,18,decreasing,16,-0.012439737516861228,0.9559732280772403
ENSG00000011566,18,decreasing,16,-0.04125893483755137,0.9531223001911577
ENSG00000102218,18,decreasing,18,-0.02074326150963886,0.9531223001911577
ENSG00000204899,18,decreasing,18,-0.007852274063105343,0.9474204444189928
ENSG00000150977,18,decreasing,16,-0.020971920817898216,0.9456792670680709
ENSG00000123130,18,decreasing,17,-0.02184374647017815,0.9428283391819884
ENSG00000149177,18,decreasing,15,0.030355636615333168,0.9410871618310667
ENSG00000153989,17,decreasing,14,-0.014528252882365028,0.9503647884376965
ENSG00000172164,17,decreasing,15,-0.013294718375751665,0.9503647884376965
ENSG00000124209,17,decreasing,17,-0.01241965516834776,0.9473461589112562
ENSG00000136205,17,decreasing,17,-0.040750174409769746,0.9394653003103408
ENSG00000083457,17,decreasing,17,-0.02082245547058748,0.9394653003103407
ENSG00000105287,17,decreasing,16,-0.009329221676467516,0.9394653003103407
ENSG00000164933,17,decreasing,16,-0.03356626383238701,0.937621700762306
ENSG00000206199,17,decreasing,16,-0.022944722888720636,0.937621700762306
ENSG00000152495,17,decreasing,15,-0.007338806937188434,0.9346030712358657
ENSG00000178935,17,decreasing,14,-0.009511802282209159,0.9267222126349504
ENSG00000147044,17,decreasing,17,-0.03896127209816765,0.9255471826565447
ENSG00000064651,16,decreasing,16,-0.014104930434443438,0.9691755306336274
ENSG00000043462,16,decreasing,15,-0.009001735159403718,0.9691755306336273
ENSG00000125686,16,decreasing,16,-0.0077602135114844374,0.9672167061138405
ENSG00000171621,16,decreasing,13,-0.004919882476204531,0.9620505877222107
ENSG00000184640,16,decreasing,16,-0.010527410811654031,0.9556359999785251
ENSG00000198382,16,decreasing,16,-0.018930664105583438,0.9556359999785251
ENSG00000012779,16,decreasing,16,-0.007683589728887687,0.955635999978525
ENSG00000179218,16,decreasing,16,-0.013149683912259362,0.955635999978525
ENSG00000140332,16,decreasing,16,-0.0034412234916976377,0.9524287061066822
ENSG00000130340,16,decreasing,14,-0.013843826001129506,0.9504698815868953
ENSG00000145687,16,decreasing,14,-0.0026001623948487687,0.9504698815868953
ENSG00000185418,16,decreasing,14,-0.032793438884184276,0.9504698815868953
ENSG00000225190,16,decreasing,16,-0.00864576538360875,0.9504698815868953
ENSG00000112339,16,decreasing,16,-0.018725406858715807,0.9472625877150525
ENSG00000149269,16,decreasing,15,-0.012603242157188475,0.9453037631952657
ENSG00000198730,16,decreasing,13,-0.01177495729592642,0.9453037631952657
ENSG00000198887,16,decreasing,16,-0.05326358205648236,0.9453037631952657
ENSG00000154122,16,decreasing,14,-0.013054055963480776,0.9453037631952655
ENSG00000170145,16,decreasing,16,-0.006998132593772507,0.9440552938432095
ENSG00000102908,16,decreasing,15,-0.009944305717687995,0.9420964693234227
ENSG00000115137,16,decreasing,16,-0.010226926793685332,0.9420964693234227
ENSG00000196369,16,decreasing,16,-0.009940664792084887,0.9408479999713667
ENSG00000152270,16,decreasing,16,-0.022708042446062938,0.9376407060995238
ENSG00000168255,16,decreasing,15,-0.006840717227513088,0.936930350931793
ENSG00000185946,16,decreasing,16,-0.03356092707428278,0.935681881579737
ENSG00000174579,16,decreasing,14,-0.015811907813522093,0.9285569386683205
ENSG00000120594,16,decreasing,16,-0.004921584149155307,0.9273084693162644
ENSG00000171345,15,decreasing,14,-0.019002624932009,0.9863155461468037
ENSG00000240445,15,decreasing,15,-0.0359565654940772,0.9739627929358006
ENSG00000171943,15,decreasing,10,-0.006007174286972747,0.9718733801146946
ENSG00000188342,15,decreasing,14,-0.023299438692993203,0.9684522666513956
ENSG00000125944,15,decreasing,13,-0.0029857093320416264,0.9671205660092025
ENSG00000099917,15,decreasing,12,-0.023437997776560367,0.9663628538302897
ENSG00000147010,15,decreasing,13,-0.008026578170081533,0.9650311531880966
ENSG00000114062,15,decreasing,11,0.0057912671893775676,0.9650311531880964
ENSG00000283765,15,decreasing,12,-0.006550260574335986,0.9629417403669908
ENSG00000065989,15,decreasing,13,-0.0057850252606081,0.9616100397247976
ENSG00000110429,15,decreasing,14,-0.008373490577277267,0.9616100397247975
ENSG00000105339,15,decreasing,15,-0.0253572545673461,0.9560995134403925
ENSG00000011007,15,decreasing,15,-0.00940874438567604,0.9526783999770935
ENSG00000034677,15,decreasing,15,-0.006208761956049607,0.9505889871559875
ENSG00000105939,15,decreasing,14,-0.02094239692859574,0.9505889871559875
ENSG00000127603,15,decreasing,11,-0.011864181189174212,0.9505889871559874
ENSG00000010810,15,decreasing,15,-0.019576701475095094,0.9505889871559873
ENSG00000102974,15,decreasing,15,-0.014801868879575294,0.9492572865137945
ENSG00000118058,15,decreasing,15,-0.026193247965664114,0.9492572865137945
ENSG00000024048,15,decreasing,15,-0.011357581705751,0.9492572865137942
ENSG00000203705,15,decreasing,15,-0.007998562635944501,0.9471678736926883
ENSG00000102312,15,decreasing,15,-0.01690418008823009,0.9458361730504953
ENSG00000118263,15,decreasing,14,-0.008016311640217792,0.9437467602293894
ENSG00000147649,15,decreasing,12,-0.004963244038828967,0.9437467602293894
ENSG00000167193,15,decreasing,14,-0.0713978563394082,0.9437467602293893
ENSG00000147416,15,decreasing,15,-0.020653192916981467,0.9403256467660904
ENSG00000163659,15,decreasing,15,-0.06411667108674117,0.9403256467660903
ENSG00000164346,15,decreasing,15,-0.006508261256201387,0.9403256467660902
ENSG00000064703,15,decreasing,12,-0.0011674240178663202,0.9382362339449843
ENSG00000105576,15,decreasing,14,-0.012161034287655066,0.9382362339449843
ENSG00000136643,15,decreasing,15,-0.008332644170363486,0.9382362339449843
